-> Cluster1
Point11	78.468080 92.307929 24.858135
Point1450	89.427760 85.557986 19.929296
Point1463	73.589031 93.409294 12.054512
Point1479	78.627988 55.496933 16.830701
Point1507	70.784864 72.726442 4.103788
Point1508	73.647523 77.672619 40.984192
Point1511	85.469037 61.315991 10.191019
Point1526	78.849602 53.722089 14.636514
Point1556	89.351777 78.646537 15.831737
Point1563	88.768599 76.008372 1.335101
Point1599	93.280544 92.047761 34.447131
Point1600	84.400755 78.084327 26.376517
Point1604	77.888862 80.948732 12.996904
Point1621	76.942323 80.118056 37.961745
Point1650	86.466513 96.196111 20.813957
Point1656	72.579411 82.420634 19.450897
Point1657	57.286832 76.884972 28.072769
Point1675	74.211282 77.595999 14.288712
Point1690	83.781710 68.655959 28.711426
Point1695	75.753612 94.837841 8.430114
Point1711	59.582709 68.640169 20.915344
Point1715	94.064097 82.316527 4.591233
Point1726	65.745688 79.072082 37.269907
Point1750	66.082729 77.676915 6.454347
Point1763	87.119036 92.004914 35.432741
Point1764	90.101379 83.591355 15.406945
Point1789	67.716500 92.612490 22.282313
Point1801	79.860247 81.078119 26.373145
Point1822	72.047951 66.543637 3.894763
Point1867	75.311475 94.953858 14.484964
Point1875	91.042236 73.624894 26.506330
Point1900	95.989568 72.778191 24.090063
Point1901	69.272745 64.740651 30.304639
Point1935	71.058547 81.541750 9.080860
Point1962	73.958926 90.871327 30.987376
Point1966	72.652951 77.370948 27.777776
Point1983	78.608900 75.178783 14.140690
Point2022	55.119306 76.795047 22.679703
Point2037	92.687985 66.598394 9.088794
Point2057	70.370129 95.184338 18.621194
Point2063	62.509158 73.787929 22.173103
Point2085	52.808581 81.365904 19.510485
Point2095	85.975265 87.186240 12.059702
Point2098	83.378726 69.240775 25.971970
Point2101	72.944866 57.157527 18.334394
Point2103	97.430791 81.260788 23.626554
Point2148	70.982106 77.689957 22.016152
Point2185	72.011829 86.177490 9.994455
Point2192	79.396462 70.731453 12.196480
Point2194	84.120953 65.842970 15.059121
Point2196	92.475300 72.680511 13.019297
Point2198	77.013671 83.139515 41.539813
Point2208	58.445186 87.237507 21.416393
Point2229	66.571183 92.695126 6.924892
Point2242	81.131626 82.811126 34.428837
Point2248	77.940952 69.335254 12.953255
Point2302	79.587463 61.050296 2.455174
Point2315	67.687702 73.305605 1.030990
Point2332	66.422168 83.192740 28.857813
Point2334	86.956682 69.186006 3.253925
Point2403	78.980371 88.419392 3.867577
Point2408	61.636392 88.186711 14.950913
Point2411	80.599268 77.788823 8.573871
Point2421	91.795153 84.014838 6.451594
Point2441	89.654545 90.906304 9.255542
Point2462	65.543207 86.144033 17.224145
Point2469	58.462600 76.134160 6.341075
Point2489	93.193985 78.782441 4.258276
Point2491	96.025891 94.401262 20.338977
Point2494	86.579740 62.619950 10.086545
Point2497	65.210714 76.505847 37.184396
Point2526	84.134284 70.273617 28.751569
Point2561	80.029651 80.547819 7.482274
Point2572	87.310025 66.480597 27.579968
Point2584	74.956759 75.556185 23.162908
Point2600	80.612536 67.761748 15.960328
Point2601	57.220958 92.374515 13.157707
Point2628	64.506019 87.227067 12.369925
Point2662	85.051852 75.513503 3.557738
Point2670	77.042616 72.709019 18.066756
Point2697	94.686438 78.256995 4.861634
Point2699	71.864468 58.166243 25.352638
Point2700	75.702201 86.174135 21.063087
Point2710	63.945433 93.260538 9.811613
Point2767	90.435989 78.950033 1.233877
Point2768	70.939889 88.746877 3.183846
Point2783	65.721141 95.975031 18.940224
Point2812	93.842359 84.559645 28.491182
Point2868	96.348093 70.305308 27.922408
Point2877	81.700134 82.979551 21.880735
Point2891	73.163105 90.241346 0.917825
Point2904	86.479604 60.476365 24.160840
Point2945	95.466555 73.361156 7.221544
Point2968	84.074731 86.531033 42.526552
Point2972	70.477810 76.451846 21.805325
Point2990	86.255318 95.851813 32.181229
Point2995	83.599378 64.319143 7.446792
Point3004	73.473143 84.198983 2.912484
Point3010	94.107388 82.735692 25.369494
Point3017	73.479799 74.077507 19.158993
Point3020	75.883081 61.849188 20.319751
Point3036	78.146230 67.095509 0.877695
Point3043	62.095226 85.024310 10.247341
Point3061	74.414402 97.761846 29.340166
Point3083	60.769138 84.476836 3.380478
Point3093	70.651534 95.495223 10.992140
Point3102	88.405772 80.710307 13.697159
Point3111	87.028023 91.571477 23.599370
Point3118	86.170568 60.035860 2.581158
Point3135	88.239201 65.776512 12.811032
Point3143	79.971264 75.916572 16.625073
Point3144	95.288528 90.062511 9.091922
Point3176	84.532124 70.803765 14.369922
Point3179	97.156011 95.789622 20.353201
Point3181	63.069572 69.247668 6.327359
Point3191	54.737570 83.588945 14.644217
Point3196	87.493455 87.544153 40.905973
Point3200	76.014625 71.498798 8.653285
Point3225	88.507331 81.607364 4.138666
Point3228	78.739119 73.795527 18.223382
Point3233	80.313048 96.893107 7.419159
Point3235	76.198091 61.040771 26.163557
Point3265	71.966083 69.833867 35.754776
Point3331	91.866632 61.982118 20.641147
Point3339	90.292900 69.741742 11.955428
Point3359	92.092884 85.694545 12.119203
Point3362	88.546058 70.717621 27.045872
Point3369	82.818453 88.161439 3.121485
Point3370	74.145091 85.029665 33.980840
Point3374	89.262346 78.927377 31.599098
Point3401	93.621796 91.111931 33.598370
Point3417	68.198167 83.217225 16.355162
Point3418	77.479356 84.373795 20.774396
Point3419	72.034870 82.076871 19.931104
Point3429	73.384400 94.168086 0.476533
Point3436	92.880585 72.334338 12.427666
Point3442	79.905650 90.115178 1.434330
Point3455	92.003230 76.475077 6.878954
Point3462	73.091437 74.027980 14.448185
Point3470	78.720473 88.310633 9.662405
Point3474	79.302167 93.192892 16.180766
Point3517	68.390234 97.800805 9.428356
Point3518	81.969234 78.668628 1.544054
Point3530	86.110135 58.838910 16.661868
Point3544	65.750117 79.634184 37.381307
Point3561	86.348877 86.514247 11.392661
Point3575	79.672127 83.298581 28.555736
Point3594	88.454223 66.694226 36.551153
Point3596	97.918651 72.961282 12.551798
Point3621	76.135240 70.872059 26.896003
Point3626	73.214151 70.446676 0.798243
Point3637	66.721737 81.284940 11.090213
Point3656	83.221081 57.490640 4.873181
Point3659	83.655596 81.282334 2.443715
Point3683	90.963974 82.551752 32.120249
Point3707	66.728710 89.627720 14.848663
Point3720	75.192489 94.204522 31.381115
Point3754	82.017089 96.787511 30.785741
Point3763	93.160200 80.338683 19.428114
Point3781	70.208760 76.856540 1.467177
Point3815	87.865329 86.100127 17.262438
Point3825	86.008610 66.842806 18.404412
Point3829	70.542665 83.025137 31.687812
Point3830	94.361590 97.627056 20.090407
Point3843	73.674940 90.136292 14.041566
Point3849	86.116735 81.177290 33.278541
Point3854	85.604023 79.980661 17.117709
Point3866	93.361986 97.359276 14.259065
Point3868	78.274864 94.000648 18.913531
Point3874	81.541375 64.896249 2.138749
Point3896	90.699950 67.467418 34.685864
Point3897	74.693546 94.015363 10.623017
Point3930	87.048774 82.566126 21.533070
Point3934	89.056908 64.526040 12.739434
Point3935	75.389795 73.241763 40.370149
Point3936	63.491701 85.612103 20.309899
Point3937	75.487178 68.992722 36.597993
Point3943	75.893723 87.411129 13.087261
Point3952	69.643065 82.803765 8.155071
Point3954	72.456667 90.149912 7.582600
Point3960	81.968244 82.960446 29.731806
Point3961	61.746899 75.115592 23.082215
Point3970	85.857292 88.119257 24.984706
Point4013	69.994413 88.584713 20.146757
Point4015	92.620392 70.118026 31.406312
Point4040	69.249630 86.431231 10.658502
Point4045	70.721375 80.978930 7.096990
Point4067	83.992820 82.456588 1.824286
Point4070	87.415268 87.292147 35.364959
Point4078	75.999173 90.767632 23.148222
Point4083	69.477422 95.364560 5.634767
Point4084	95.247469 89.421734 7.220895
Point4089	83.491637 70.335674 29.342257
Point4091	75.421351 71.381076 13.387565
Point4130	95.842121 72.591330 29.386961
Point4132	88.220597 76.741764 11.875130
Point4146	96.563953 69.580179 9.097517
Point4149	72.643940 90.143523 5.686568
Point4154	94.154067 95.441930 15.454596
Point4167	75.874534 73.732972 6.346391
Point4177	94.359080 87.007121 17.118877
Point4206	80.199712 77.433986 24.458819
Point4212	93.261856 87.602166 6.873793
Point4236	82.881771 93.730135 35.740775
Point4256	96.081513 82.458717 34.636978
Point4260	81.749082 93.409402 17.352925
Point4289	56.848401 74.554599 11.986411
Point4290	89.932044 65.964055 21.163721
Point4296	87.859601 74.040724 16.062107
Point4332	59.639557 67.877591 17.198763
Point4343	92.590735 74.170153 4.602825
Point4345	74.009712 85.977157 34.394473
Point4348	90.862911 93.879860 16.776839
Point4369	74.114012 75.869451 18.311488
Point4377	86.680858 95.073605 3.521104
Point4384	83.754516 92.423648 21.635776
Point4386	96.997640 97.764784 17.495220
Point4400	90.311631 95.764889 8.166335
Point4417	85.528998 80.999828 4.305051
Point4423	73.425118 64.842899 13.341024
Point4426	97.071587 73.024733 24.079928
Point4445	91.339047 81.327505 22.332772
Point4449	69.288575 90.639265 11.287088
Point4456	91.736656 69.146091 3.513019
Point4469	90.155640 86.026300 27.099759
Point4474	80.029176 87.667493 12.288434
Point4510	86.778577 88.491493 6.501402
Point4516	88.668270 62.482528 5.980174
Point4517	74.238741 87.496820 25.954813
Point4521	82.317389 89.438410 8.320581
Point4526	77.268378 84.478645 18.724572
Point4562	84.614940 88.737606 25.872286
Point4589	74.372357 60.743968 6.118378
Point4595	87.436115 64.352596 2.091387
Point4597	80.496463 94.955837 0.055918
Point4614	67.782389 76.521543 24.925845
Point4622	86.662299 81.629704 40.274572
Point4637	81.711066 79.155373 9.963606
Point4645	96.050187 86.080002 17.743298
Point4648	68.875086 88.502693 9.748709
Point4666	75.832823 82.318684 4.367556
Point4670	75.207395 96.270513 8.022416
Point4675	97.149205 71.999303 9.101144
Point4699	74.403559 67.056556 16.186828
Point4718	91.511320 94.393638 33.296968
Point4720	67.657869 89.632512 23.453515
Point4737	92.155068 77.579587 19.893780
Point4740	56.816889 71.592639 16.941243
Point4746	82.027675 97.036308 9.633159
Point4747	88.826451 81.193084 27.024318
Point4749	85.208294 74.401839 2.432057
Point4753	76.815447 55.130037 14.508112
Point4760	71.286394 76.864505 4.634837
Point4792	75.476048 60.427818 4.460593
Point4797	72.697969 71.437076 25.500796
Point4801	88.209004 89.378209 7.894538
Point4807	74.780581 68.835607 37.186011
Point4826	70.716830 95.208018 15.843808
Point4841	93.637527 97.452512 13.055660
Point4864	69.239887 88.047323 9.567914
Point4876	80.669551 83.885155 34.733357
Point4877	94.100965 67.285088 30.111830
Point4882	73.908379 83.804821 5.901803
Point4887	74.900517 87.492497 13.244795
Point4894	75.126344 93.389896 15.715487
Point4898	94.333641 87.457866 5.597173
Point4912	94.055020 82.925985 23.090674
Point4917	81.126630 95.485247 3.493651
Point4954	84.564953 72.967980 38.449224
Point4963	89.193137 77.081261 34.559706
Point4970	92.597192 77.589099 8.349225
Point4980	91.653080 83.922348 30.198265
Point4981	78.917938 81.750628 18.650242
Point4983	71.138149 75.440143 1.690519
Point4988	77.008866 76.083214 3.022367
-> Cluster2
Point1	16.359004 93.362881 20.296712
Point33	29.360228 87.831850 38.152587
Point44	10.187690 69.970475 0.503699
Point48	41.823904 67.946182 28.366028
Point50	4.067285 61.638678 17.308891
Point62	42.938871 79.512178 26.049093
Point65	39.816237 79.201725 27.330477
Point67	4.567674 90.928944 16.460597
Point96	26.615414 78.033830 27.831406
Point97	32.301857 87.905131 11.453510
Point98	19.965683 84.606965 41.718350
Point99	25.441188 73.983032 6.713611
Point123	24.580428 89.790212 23.809519
Point139	25.632114 86.304042 11.213480
Point175	16.383821 63.484736 25.263803
Point181	26.494123 68.109236 13.934064
Point242	18.043405 77.541443 37.901148
Point245	6.354694 92.458229 13.898583
Point256	23.902113 60.174550 30.516326
Point277	8.478789 64.810715 31.352938
Point287	15.524985 96.784894 23.022595
Point298	22.394252 95.473756 10.730543
Point316	36.861596 81.522134 32.003828
Point339	37.527373 68.056163 28.194755
Point355	18.455074 73.066650 11.761221
Point367	12.039014 58.971348 31.524422
Point374	18.879337 56.379807 10.488477
Point413	35.323669 89.349083 27.336768
Point435	30.749769 64.443565 6.715564
Point469	16.540254 56.138611 8.708975
Point470	32.387783 86.576285 22.659156
Point478	23.781915 85.822463 22.205818
Point481	35.762248 84.456717 17.385970
Point492	25.078618 55.788515 22.603979
Point495	10.547949 76.099275 20.349208
Point519	22.404603 63.141149 28.862936
Point521	37.871272 88.281548 25.635783
Point530	21.460645 83.879616 9.364274
Point562	3.319284 84.612961 37.299077
Point588	5.898698 87.034684 23.285298
Point625	10.106807 76.536562 9.465509
Point643	33.358081 86.668848 30.031630
Point673	30.175478 89.978259 14.496559
Point683	12.706384 79.697797 1.314970
Point703	12.912008 87.592112 36.356466
Point736	21.173484 94.814691 15.911819
Point740	10.084746 79.051334 11.391022
Point750	25.943591 88.949569 9.147006
Point760	30.012303 82.143204 34.302932
Point777	15.510470 95.335808 34.258932
Point779	13.231244 86.397672 20.604274
Point782	33.011947 76.283662 36.291989
Point786	17.451623 96.816360 15.928398
Point792	4.509358 68.676894 12.521954
Point801	14.784499 66.272207 26.163118
Point873	8.733431 70.356077 20.065292
Point885	22.444643 72.244375 34.701294
Point890	35.517088 84.726798 36.384068
Point910	39.681798 87.934744 18.558196
Point923	3.790858 79.930022 28.736374
Point945	32.958317 74.379263 19.529961
Point949	20.943740 83.517417 25.486409
Point971	23.014759 55.292819 29.473568
Point976	8.748622 79.932451 25.099492
Point1013	14.713056 88.012469 10.952804
Point1046	10.571011 71.918097 33.369702
Point1049	22.063298 83.996462 20.537384
Point1050	4.961630 74.032439 35.981328
Point1055	17.603865 81.313065 4.055400
Point1057	28.127270 67.710228 36.832239
Point1080	9.928580 85.270145 36.160869
Point1084	21.434282 69.727371 20.181945
Point1125	8.381891 76.498344 31.851224
Point1128	26.974263 78.806273 2.874212
Point1138	15.008660 61.141311 13.746511
Point1151	25.948568 91.270713 18.974319
Point1163	37.905649 83.450865 35.483781
Point1164	32.271733 71.608627 27.038107
Point1184	37.280973 80.515150 22.215205
Point1189	33.233380 67.830263 27.105789
Point1196	25.187028 86.704923 36.574934
Point1205	30.470995 57.462023 19.798861
Point1220	7.999006 68.982294 15.463995
Point1236	29.415356 76.814777 26.796330
Point1241	5.642666 62.775638 13.628919
Point1302	15.763191 83.701813 0.078629
Point1303	25.158438 72.719426 45.388008
Point1313	18.651698 83.308076 4.717583
Point1344	23.927415 86.741266 42.629216
Point1357	31.865099 80.861097 40.131417
Point1361	7.789701 66.793508 26.807837
Point1364	12.136321 86.682039 29.744910
Point1375	30.249120 90.467818 4.556082
Point1393	1.229936 77.618181 6.809747
Point1405	14.972116 69.341832 43.491297
Point1415	12.692040 92.372929 7.555785
Point1441	4.522860 74.345209 20.419892
Point1487	5.682738 83.513857 9.432324
Point1494	26.781973 74.782468 15.786696
Point1497	11.626429 71.584898 35.000818
Point1519	34.183056 63.384080 33.311410
Point1521	21.632546 57.890401 10.617229
Point1525	9.319485 71.061762 10.871112
Point1529	25.517161 74.604724 19.259980
Point1534	35.618124 61.042309 13.945776
Point1543	34.001511 60.474661 19.751400
Point1566	2.194007 89.476325 22.137132
Point1585	22.939682 86.405559 31.282963
Point1623	11.362631 79.196710 8.717714
Point1634	21.671769 92.740018 32.030303
Point1644	21.832355 93.942100 16.803799
Point1665	13.372320 69.614837 4.871834
Point1671	10.668989 65.773541 36.810102
Point1703	15.609901 69.119915 0.858218
Point1712	37.719411 90.916583 15.697819
Point1725	37.507538 90.121981 24.786990
Point1733	15.663521 61.145064 36.339544
Point1748	26.093385 55.990471 10.774582
Point1749	16.642496 57.983594 15.919372
Point1756	17.640607 86.665558 41.431881
Point1775	26.486632 64.052950 39.443168
Point1778	18.117537 55.189062 8.573965
Point1815	20.414523 66.650537 16.408142
Point1830	22.489897 78.643669 15.593322
Point1842	40.746882 67.892081 21.042298
Point1856	0.109434 83.404261 13.738514
Point1862	33.124706 64.684411 32.494954
Point1871	12.422064 64.871670 3.254817
Point1883	3.479299 67.886087 11.096009
Point1898	12.749770 76.082931 23.440660
Point1902	42.973394 73.935097 23.640760
Point1939	24.111824 92.838162 3.962105
Point1948	16.244655 58.289786 33.377408
Point1964	35.085693 90.991541 23.261960
Point1991	12.234810 77.347542 21.503508
Point2011	33.666686 90.458207 24.185959
Point2026	34.153803 86.465680 25.427854
Point2032	17.714682 66.882931 19.876704
Point2038	5.818439 73.856717 33.101237
Point2055	21.660408 83.513453 16.660414
Point2065	35.711157 70.288801 27.339620
Point2079	22.150964 68.423082 43.564930
Point2102	6.759161 77.182389 4.535793
Point2105	14.993543 72.697049 43.201257
Point2106	12.586150 72.959265 16.674971
Point2129	14.131499 61.344253 21.366362
Point2138	8.830433 56.493467 13.988630
Point2162	29.661195 90.465053 14.697277
Point2171	18.950336 66.817936 11.364241
Point2203	15.183528 64.970534 17.265397
Point2231	26.374447 75.681383 6.802962
Point2253	8.692197 69.341073 3.408906
Point2299	2.299893 70.128700 21.182748
Point2326	2.385278 69.911579 27.127893
Point2337	11.149406 88.249074 26.803580
Point2346	17.792345 82.274328 4.125619
Point2347	14.724493 86.432467 34.650743
Point2364	33.279412 67.801558 38.510187
Point2384	5.141580 57.138972 17.293822
Point2390	6.943406 67.340436 33.080880
Point2392	27.933687 92.497322 19.555948
Point2400	33.209009 69.504296 39.403489
Point2414	38.921044 81.784585 17.983914
Point2416	15.817428 66.274421 4.187756
Point2418	22.252361 72.914652 20.426722
Point2433	20.204406 88.701296 20.778743
Point2444	26.919831 79.881972 1.517739
Point2453	11.911231 81.645332 35.888845
Point2456	26.721326 73.469869 27.545861
Point2473	16.036927 76.675960 11.107854
Point2474	21.355534 93.852067 20.384168
Point2503	5.900063 90.445543 11.339096
Point2504	33.461756 74.437366 27.097244
Point2505	25.072100 87.179289 36.899421
Point2507	24.796820 61.960294 4.566653
Point2519	1.708221 79.084450 34.996413
Point2534	2.534239 84.567302 7.448234
Point2576	20.308881 62.065086 24.898078
Point2592	31.850207 81.848939 21.337284
Point2594	3.733282 83.975517 27.258938
Point2597	4.882018 66.250005 13.932086
Point2602	14.776736 85.798731 37.460789
Point2624	22.474763 88.833292 3.814545
Point2629	13.414426 80.701956 9.766104
Point2649	25.495839 71.043713 22.077631
Point2667	13.091577 73.886087 13.085077
Point2680	17.569857 89.978727 8.886406
Point2703	12.554590 78.115680 6.833141
Point2706	38.119131 87.989474 24.841213
Point2739	7.140060 75.655710 28.417212
Point2760	33.875491 85.244562 18.975575
Point2790	17.647274 60.469019 12.295220
Point2792	22.479108 59.392769 5.274818
Point2797	28.172850 90.990467 8.476938
Point2809	1.735434 88.820174 24.647804
Point2828	35.326560 87.185269 4.948416
Point2830	11.304558 89.871200 29.403414
Point2833	11.375789 97.781598 27.355268
Point2865	25.956881 68.916207 16.452091
Point2876	32.736496 71.517585 29.432400
Point2892	36.609946 87.739765 6.582505
Point2894	21.731986 87.710127 32.259344
Point2896	36.026541 91.458343 22.737377
Point2900	28.731042 56.481656 14.468075
Point2905	32.361232 87.482304 11.517951
Point2910	37.528155 62.693416 30.229733
Point2940	35.671200 68.808902 36.974134
Point2942	6.198868 76.609262 41.189652
Point2949	14.838735 78.746435 6.457850
Point2976	14.029027 70.695214 7.467951
Point2987	1.130574 80.685940 27.571588
Point2989	16.871726 79.049022 10.220818
Point3042	15.786225 93.089652 17.565839
Point3056	38.382913 91.433014 18.775975
Point3065	45.018586 73.020717 19.817380
Point3067	13.195576 79.102303 46.548713
Point3072	13.423979 79.725394 21.401605
Point3085	18.508094 70.120484 25.997677
Point3088	2.364484 70.568751 29.201735
Point3094	19.946377 68.630946 21.452632
Point3098	7.545270 62.625761 25.344006
Point3101	5.428108 87.786807 32.993840
Point3103	18.323959 94.347708 12.536739
Point3104	7.561413 79.795071 27.890404
Point3105	21.630958 69.284182 23.789232
Point3108	26.768047 59.427192 14.045170
Point3114	18.652778 56.738302 34.842096
Point3168	36.284366 89.364823 8.629967
Point3172	42.009222 84.728972 16.675571
Point3199	20.634572 79.031969 16.392459
Point3204	34.152029 72.717025 32.616836
Point3205	12.016356 60.753467 20.282177
Point3208	20.162337 62.185209 39.581537
Point3213	25.319700 88.272856 6.331109
Point3216	20.260705 63.940996 23.116415
Point3230	22.163940 93.682699 14.130063
Point3249	8.438344 69.223994 30.490139
Point3255	5.019353 92.892095 26.562341
Point3256	20.152998 79.999812 46.157833
Point3307	10.884011 97.435867 28.210600
Point3311	29.450718 85.129900 34.715174
Point3323	32.169345 67.581386 9.675323
Point3345	34.576885 78.105440 6.976734
Point3352	21.686135 88.890917 27.917076
Point3376	12.021210 76.254485 5.429077
Point3385	20.194469 69.116633 26.883677
Point3407	19.095588 87.598456 16.485333
Point3420	27.070993 57.256514 16.561333
Point3428	16.266682 64.925447 26.128678
Point3434	25.522868 90.827330 17.455247
Point3440	12.022821 84.063184 8.216337
Point3498	16.832553 85.860938 20.721367
Point3524	32.619867 71.110577 35.420396
Point3538	31.279774 65.375549 36.914748
Point3551	37.477866 60.187527 19.163412
Point3553	4.111242 76.397072 16.106067
Point3574	1.823906 64.141716 18.447745
Point3590	26.551912 70.330952 27.527058
Point3593	13.496197 79.455452 7.646160
Point3623	21.370160 58.753726 37.202425
Point3636	12.937530 86.064209 20.925307
Point3675	24.471825 83.875676 3.534980
Point3677	7.836187 90.197889 16.247814
Point3678	27.397102 66.913211 29.161560
Point3729	28.156190 60.182195 9.578567
Point3731	22.140045 75.348053 36.904759
Point3744	8.113509 70.247559 28.023289
Point3782	27.821777 86.310752 37.823210
Point3783	20.856043 88.566408 34.166277
Point3786	27.764559 82.539791 40.810020
Point3792	8.387352 94.877794 18.516965
Point3813	27.827853 85.477428 21.108185
Point3819	16.842641 86.647652 21.317113
Point3845	15.782850 86.433314 42.411752
Point3853	9.867977 91.033957 37.321741
Point3938	34.190244 57.499284 23.617878
Point3951	23.518020 83.848453 2.177343
Point3955	18.474139 65.155186 11.608620
Point3972	28.907439 92.952677 25.212714
Point4001	0.457231 86.120678 21.876158
Point4004	16.491962 63.761662 2.729167
Point4034	35.891324 59.190351 26.908417
Point4044	15.996833 91.712296 5.842229
Point4049	35.854893 82.279467 16.062262
Point4050	19.387495 86.124183 44.469793
Point4061	5.479256 67.407862 14.567840
Point4063	7.589310 65.161187 36.432941
Point4064	20.008317 90.004234 15.927880
Point4095	18.736244 89.146003 26.417961
Point4112	39.235699 86.415084 15.523497
Point4117	34.484878 90.955729 26.709204
Point4136	32.425990 87.501662 5.568964
Point4147	18.007216 82.059453 43.885329
Point4152	34.018299 71.856266 5.097653
Point4159	14.053277 73.110824 3.580586
Point4170	27.212295 64.296379 29.815858
Point4171	23.052616 68.460761 2.306501
Point4191	28.437013 80.440717 10.867274
Point4226	1.133281 61.898695 25.121346
Point4277	14.430512 96.548131 25.746057
Point4299	43.859415 72.697627 22.480801
Point4301	6.297675 80.209501 30.926049
Point4336	0.753662 66.522229 19.144034
Point4338	29.988001 79.093094 12.427093
Point4362	9.168851 96.792201 27.826873
Point4376	19.546206 75.237157 13.523359
Point4380	14.026305 77.670494 26.605228
Point4398	19.140483 91.239679 7.705940
Point4427	27.457356 68.453778 23.159185
Point4438	7.098480 60.602861 22.225603
Point4444	8.047626 77.309413 27.408840
Point4455	7.298539 81.125787 32.413852
Point4473	29.115506 73.802494 7.485023
Point4489	20.899854 75.597853 6.982267
Point4520	27.713806 85.652744 6.346179
Point4529	21.071278 93.577370 5.133002
Point4545	18.487207 66.649234 7.992862
Point4586	9.119220 65.233674 3.395776
Point4593	40.184860 81.208018 15.069714
Point4607	31.043119 88.603820 7.873042
Point4608	17.183688 51.092742 21.222156
Point4611	1.555145 74.222530 35.091237
Point4643	26.090549 54.917544 22.031218
Point4658	2.547492 88.053681 21.188859
Point4663	22.706459 82.678046 31.455589
Point4671	16.705981 91.461798 5.954385
Point4673	20.313155 66.618884 9.845067
Point4731	27.037041 89.565394 13.364624
Point4735	27.124990 95.467863 31.580899
Point4756	14.819969 80.303467 18.291597
Point4758	26.613456 89.728680 21.198783
Point4812	4.256126 89.143656 8.840816
Point4842	6.947243 78.622922 3.425568
Point4845	14.937913 81.495239 14.027629
Point4850	5.757733 80.537347 23.599698
Point4852	3.478568 77.499001 22.431856
Point4854	27.394056 77.540788 40.351779
Point4860	15.707639 87.245809 12.501196
Point4871	37.214259 80.132424 6.395602
Point4890	27.937538 85.246503 5.198787
Point4920	0.653613 79.320446 25.910851
Point4924	23.810164 84.151130 13.036125
Point4931	18.442671 69.643252 33.714768
